text input,category
"I would feel I was not good enough, and feel that I did something wrong possibly.",thought
I would feel bad that my family felt like I did not want to see them.,thought
This is my family and I should be willing to set time aside for them. It may make me seem pretty selfish.,thought
"The fact that I was not able to accomplish my goal, knowing that I needed to sell cars.",thought
It would mean that I most likely had given up in a way.,thought
The fact that someone was thought to have been a better fit for the position then me.,thought
It would say that I am less qualified or less fit for the position then someone else.,thought
The thought of just feeling bad for my cousins as they lost their mother a couple of years ago.,thought
"This just meant that I really felt for them, and that I wanted to be able to help but really felt there were no words that could even do anything to help. ",thought
they think i'm lazy,thought
I would feel guilty,thought
I feel inadequate and mad at myself,thought
i'm not likeable,thought
I would be sad and lonely,thought
I would feel isolated and depressed,thought
I'm trying but i can't get a break,thought
I'm not successful,thought
i'm frustrated,non-thought
I failed in our relationship,thought
I would feel rejected,thought
i would feel hurt and lonely,thought
i would feel bitter and alone,thought
I'm not good enough for her son,thought
I'm not worthy of a relationship,thought
i deserve to be alone,thought
I'm not a good writer,thought
If I'm not a good writer then I'm not a good student,thought
I might not pass my class,thought
I might not graduate,thought
I might not get a job,thought
I might end up poor and homeless,thought
They don't understand me or my life,thought
It means my family doesn't care about me enough to find out about my life,thought
It says I haven't connected well with them or they with me,thought
I don'thave much family connection,thought
I guess I'm not a good saleman,thought
"It says exactly that, I'm not a good salesman. It takes a certain personality and talent",thought
I don't have to take care of her anymore,thought
She was my pet so it was my duty to care for her til the end,thought
It would mean I failed,thought
Maybe they don't really like me. Maybe they didn't recognize me. ,thought
It means I like them more than they like me. ,thought
It could mean I'm not likeable,thought
I know there is work left to do but I'm on break,thought
It would mean I am annoyed by my boss,thought
That I'm not good enough for her,thought
It would mean that I would struggle to find a partner,thought
It would say that I am unattractive,thought
I have let my family down,thought
I would want to make my family happy,thought
That I care about my family.,thought
I'm not as qualified for the jobs.,thought
I don't have enough experience,thought
That I won't be able to get a job.,thought
That I am a low life and wont be able to make due,thought
I could have applied sooner but I failed to do so,thought
I could have taken more initiative.,thought
That I will continue to miss good opportunities,thought
That I am destined to be stuck in a 9-5 job,thought
My boss is gunning for me.,thought
I would have to watch my back.,thought
Work would be less enjoyable.,thought
I would be worrying that I would get fired.,thought
I would worry that it would be hard to get another job.,thought
They won't like me anymore.,thought
They wouldn't come to visit again.,thought
We would drift apart.,thought
I would rarely if ever see them.,thought
I can't ever get a job.,thought
I would run out of money.,thought
I would lose my apartment. ,thought
I would become homeless.,thought
He doesn't like me.,thought
I could be alone at the party.,thought
I would leave early.,thought
I would look foolish.,thought
That he thinks my work is shit.,thought
That I have a bad reputation and I can't consign my violins anywhere.,thought
I could not make as much money.,thought
I would have to get a job in a shop doing repair.,thought
I could fail in repair.,thought
I might have to get an office job and it would be embarrassing to be around my colleagues who are also my friends.,thought
It's going to take forever to get this essay done. ,thought
It would say that I take a long time to write essays. ,thought
I may not finish the essay in time.,thought
I may have to turn it in late and get a bad grade.,thought
I may fail the class. ,thought
I may not be able to graduate. ,thought
I may have to take another year. ,thought
I'm going to be out of a job. ,thought
It would mean I am not a good salesman. ,thought
I should go into something other than sales.,thought
"\\\ doesn't make any sense\""""",non-thought
I am going to have to find someone else to talk too. ,thought
I would try to strike up a conversation and embarrass myself.,thought
I wouldn't have anything to say.,thought
I would stand around awkwardly trying to find something to do. ,thought
I may have to break it off with this girl.,thought
She and my friend will take it badly. ,thought
It will be awkward trying to settle things with her. ,thought
She might not take it well and spiral into depression. ,thought
My friend might resent me for it. ,thought
It could interfere with my relationship with my other friends. ,thought
He didn't recognize me.,thought
I may have mistaken him for another person or thought he was looking at me when he wasn't. ,thought
It's just a little embarrassing when confuse someone or mess up a greeting. ,thought
It would say I can be embarrassed sometimes. ,thought
They do not want to hang out with me.,thought
It would mean they aren't as fond of me as I am of them.,thought
It would mean I am annoying to that person.,thought
It would mean we might not be friends anymore.,thought
I can't do anything on time.,thought
It would mean I could not complete anything.,thought
Because it would mean I would get stuck in life often.,thought
It would mean I would never be successful.,thought
I am a let down to my family.,thought
It would mean my family was not proud of me.,thought
It would mean they would like me less,thought
I might grow away from my family.,thought
I could have tried harder.,thought
It means I was not putting forth my best effort.,thought
It would mean I could have kept my job.,thought
I would still be making money.,thought
Now I have no job and no money because I'm a failure.,thought
I messed up big time.,thought
I would be a burden to my family.,thought
I would make life harder for them.,thought
I might make us poor.,thought
We might lose the house.,thought
My family would hate me.,thought
I am being kept an eye on,thought
It means I am possibly not doing my job to its fullest,thought
I could be fired or disciplined,thought
I would not have a job,thought
I could not support myself,thought
I am not good enough for this person,thought
I have flaws and am not desirable,thought
No one would find me desirable,thought
I am not worthy of anyone and I would end up alone,thought
I was a failure,thought
It means I could not sustain a living as a salesman,thought
It means I could not sustain a living,thought
I could not support my family,thought
I am not cool enough for these people,thought
I would be boring to other people,thought
People do not want to socialize with me,thought
I would be alone,thought
I would never be happy with someone else,thought
I would be forever alone.,thought
I overspent and screwed myself,thought
My bank statement would be in the negative.,thought
I would owe a penalty for overdrafting,thought
I would lose money for my own stupidity,thought
I would be poor,thought
I could not afford my lifelihood,thought
What if I fail the essay?,thought
"It would mean that I would get a lower grade, which would be very upsetting and say that I am a bad student.",thought
It would be upsetting because others would view me and my work ethic negatively.,thought
I really hurt my family,thought
It would be very upsetting because it means that I brought sadness to people I care for and says I am too busy to be with my loved ones.,thought
I am not good enough to get a job,thought
"It would mean that I am failing as an adult, which would be very upsetting. This would say that I am incapable of working like everyone else.",thought
Why would she ask me this when she knows my situation?,non-thought
"It would mean that she does not care about my situation, which would be upsetting. It would say that I am financially less table than her.",thought
"The worst that could happen is that we go our separate ways with unresolved issues. This would mean to me she views me as inferior and says that I am, but only financially.",thought
Maybe he didn't see me,thought
It would not be upsetting. It would just mean that he did not notice me and say that I should have gotten his attention better.,thought
I wouldn't feel strongly about this situation,thought
I failed and am now jobless,thought
Failure and not having security in your life are very stressful,thought
I would be eager to meet other people,thought
It would mean I failed at this,thought
Failure feels bad,thought
My grades are important and I did poorly,thought
I could fail a class and have wasted a lot of time and money,thought
I would just be very disappointed,thought
I would hope they liked me enough to wave back,thought
I enjoy having good relationships with other people,thought
would have liked to become more than friends but doesn't seem like it would happen,thought
it means that we couldn't go further in our relationship and possibly find love.  ,thought
doing alot to lose weight but received the opposite result,thought
"it would mean that even though i go on a diet, it is still not working for me.",thought
knowing that i have hurt the people i love the most,thought
because it is not my intention to disappoint my family.  it shows that i have been acting insensitive and should show more love to them,thought
losing my source of income,thought
i would not be able to pay my bills,thought
knowing that i got angry at someone very close to me who i spend so much time together,thought
because she means the world to me and i can't let petty arguments make me act too emotional,thought
it could mean i could lose that person from my life which would be very depressing,thought
My metabolism sucks!,thought
"I'm never going to lose weight, no matter how hard I try",thought
I won't be thin,thought
I will be overweight and look and feel unattractive,thought
I'll feel bad about myself,thought
I'll be depressed a self-conscious,thought
I'm selfish,thought
My priorities are out of whack and I need to do some self-reflection,thought
I haven't been living my life in the best way,thought
I'm a terrible job candidate,thought
I'll never be hired,thought
I'll be without a job,thought
I won't be able to make money,thought
I can't succeed in life,thought
I'm socially awkward,thought
It's hard to socialize ,thought
I might wind up alone,thought
I'd feel like a loser,thought
I'm a bad mom ,thought
I can't control my own kid,thought
I have failed at the one thing I thought I could do,thought
I might become depressed,thought
I don't deserve a break because I haven't finished everything yet.,thought
I'm selfish and I care more about a break then I do my job.,thought
I'm lazy and my boss will always view me as that because of this moment.,thought
I should have never taken a break because I haven't done enough to deserve it.,thought
I was too forward and now they think I'm weird.,thought
It would mean that they don't feel like we had as much as a connection as I did.,thought
I see things differently then others that may cause someone discomfort.,thought
My perception of people is off and thats why I have a difficulty creating new relationships.,thought
I'm different in a way that makes others weary of my presence.,thought
I'm not qualified and I never will be.,thought
"That no matter how hard I try, I will never be good enough.",thought
That I should give up because no one is going to see what I thought I saw.,thought
He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,thought
That he views me as inferior to him and is trying to throw subtle jabs at me whenever possible under the guise that he's helping.,thought
It would mean that he has no faith in me and that I'm worthless to him.,thought
Our relationship is built on the idea that I will never be good enough and he'll always have to pick up after my flaws.,thought
They didn't notice me.,thought
It means that I'm a forgettable person that you wouldn't notice was in the room.,thought
He meant more to me then I did to him.,thought
There's nothing special about me.,thought
I have been working on the task throughout the day.,thought
My inability to write the wrods needed to finish the essay.,thought
I will not get the essay finished.,thought
I could get an F on it.,thought
I could flunk out of the class.,thought
I could drop out of school.,thought
Wishing I was not so busy.,thought
My family would be able to visit.,thought
We would have a great time and make memories.,thought
Why is it still messed up?,non-thought
I can't figure out the problem.,thought
I could lose the project.,thought
I could loose status and reputation at work.,thought
I could be passed up for promotion.,thought
Could lose my job.,thought
Maybe he didn't recognize me.,thought
I an not that memorable.,thought
Start losing friends.,thought
Be all alone.,thought
discouraged that I gained,thought
I would say that it means I was not happy with the results but would still keep trying could have been worse,thought
It would mean I need to exercise more and keep trying I am not a person to give up,thought
It would mean I am dilligent ,thought
Wasting too much time.,thought
That I value my time.,thought
I am a productive person,thought
My time means a lot to me,thought
Blaming myself for not being good enough,thought
It would make me feel worthless as a husband ,thought
It says I appreciate my wife and would never want that to happen,thought
The amount of time and money that would go into the work,thought
I try to save time and money whenever possible.,thought
It could cost a lot and end up needing more work then previously thought,thought
I would think maybe my friend was preoccupied with something and just did not notice me,thought
I assume the best of people ,thought
I am not a good cook and not really good with company,thought
It means I am not what I should be and have hurt my relatives,thought
It says I should start doing better and invite my relatives to come,thought
I should have never taken a sales job to start with,thought
It would say I need to get a job I am good at,thought
It would just mean I am not a good salesperson,thought
Jobs are hard to come by and other people are out there trying to get a job,thought
I will have to keep on trying until I get a job,thought
I would be nervous but I can't give up because I have to work,thought
I often feel people don't want to talk to me,thought
It would make me feel bad about myself,thought
It would mean I would not go to parties anymore where I don't know anyone,thought
I felt like a failure and am ashamed I made this mistake,thought
It would say I don't always do things the right way.,thought
I could not get any more jobs with this company,thought
"It would be my own fault, but I learned something from it and will try to do better.",thought
Augh stupid body I hate you!,thought
I'm ugly and will always be fat,thought
I'm worthless,thought
No one will like me,thought
I'll be alone and miserable,thought
"What is going on, what is wrong with me no one wants to hire me?",thought
I am a failure,thought
I am no good,thought
I won't get a job and be homeless,thought
No one ever wants to talk to me,thought
No one likes me,thought
I'm no good,thought
I hate myself,thought
They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs.,thought
I see the worst case scenario in everything,thought
I can't control my emotions and get controlled by them like it's the end of the world,thought
I feel helpless and scared all of the time,thought
I don't want to live anymore,thought
What did I do wrong is he mad at me am I annoying.,thought
I would think people only acted nice to me and didn't really like me,thought
I am alone,thought
It's my fault,thought
I never do anything right,thought
I am a failure at work ,thought
I will get fired.,thought
I am a loser and weird.,thought
I might feel no women will ever go out with me.,thought
I am stupid and not smart.,thought
I will never achieve in school or work. I will be a failure.,thought
"I am weird, old, unattractive and a loser.",thought
I am unlovable and less than other people. I will never find friends or a girlfriend.,thought
My girlfriend will leave me.,thought
I will be alone and abandoned by people.,thought
That I didn't work hard enough at the diet,thought
That my weight is not important enough to put more effort into,thought
I would feel that I didn't care enough about my health,thought
That I don't care enough about myself,thought
They don't respect my boundaries,thought
That my family doesn't see me or my time as valuable ,thought
That I don't have value,thought
That I'm not good at my job ,thought
I'm not a good worker,thought
I don't do my work as well as other people,thought
I'm inferior to my coworkers who do the job successfully ,thought
That I'm not someone worth talking to ,thought
That I'm not as interesting as other people at the party,thought
I'm not worth talking to ,thought
I'm annoying and oversharing,thought
I'm not a good friend,thought
I'm not capable of maintaining friendships ,thought
I'm a bad person,thought
My coworker doesn't like me.,thought
I might be unlikable.,thought
I will be lonely forever.,thought
I cannot lose weight no matter what I try,thought
I'm a failure at dieting.,thought
I'm not capable of achieving goals.,thought
I feel like no one will want to hire me.,thought
I will never get a job I want.,thought
I will always have money problems.,thought
I will never be happy.,thought
Life as I knew it is over.,thought
I'm going to have to start over.,thought
I may never find someone to share my life with.,thought
I may be lonely forever.,thought
my sister was thoughtless to not call me,thought
I can't count on my sister to let me know that everything is ok.,thought
My sister doesn't care about me,thought
My family doesn't love me.,thought
that my co-worker doesn't like me,thought
It would mean that there's something about me that's not appealing.,thought
"I've been trying so hard for a week and I thought I'd lost some weight, but instead I've gained.",thought
"It would mean that my efforts hadn't paid off. It would also mean that I'd have to devise another strategy to lose weight, which can be quite overwhelming. I don't think it would say anything negative about me, since I adhered to the diet for a week. It just wasn't the right diet for me. ",thought
I'm not a very good salesperson.,thought
"It would mean that being a car salesperson isn't the right career choice for me. It wouldn't put me in a negative light, it would just mean that selling isn't my best skill.",thought
"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",thought
"I never want any of my students to feel uncomfortable in any way, so it made me sad to know something I'd done had upset her. I'd look deep inside to think of what it could have been. ",thought
"The last time I saw this person they were very friendly towards me, but today they ignored me.",thought
"It might mean that they heard something about me that they didn't like, and I would worry about what it is.",thought
"It would mean that not only would I feel badly the person didn't wave back, but now I'll worry about who said what to them to make them not be friendly.",thought
I like writing and the exercise sounds creative and interesting,thought
this job was not a good fit for me. ,thought
I must not be presenting myself very well.,thought
I'd feel like a failure,thought
I'd feel defeated,thought
I'd feel like I wasn't good enough to be hired anywhere,thought
I'd feel like giving up,thought
I feel like a failure,thought
this harmed our company's reputation and our relationship with the customer,thought
I wonder if he's ignoring me,thought
"If he is ignoring me, it probably means that he does not enjoy my company and/or dislikes me. Ignoring me means that he doesn't want to talk to or spend time with me.",thought
She must not like me,thought
Maybe other people don't like me either,thought
No one wants to be my friend,thought
I'll always be sad and lonely,thought
I should be able to write the essay,thought
I'm not good at writing,thought
I'll get a bad grade,thought
I'll fail the class,thought
I won't be successful in the future,thought
I'm not doing well at my job,thought
I might get fired,thought
I won't be able to pay the bills,thought
I'll have to find a new job,thought
I'll have to another interview,thought
I won't get hired because I did bad at my last job,thought
He didn't even talk to me first,thought
He must not care what I have to say,thought
Hey doesn't care about me at all,thought
He never cared about me,thought
The whole marriage was a waste of time,thought
The whole thing was a lie,thought
I can't have a baby,thought
I may never have children,thought
There's something wrong with me as a woman,thought
My husband feels let down,thought
We'll always be at least a little bit sad,thought
The fact that you do not have to remind me what I already know I have to do,thought
Because I feel like I'm being pressured,thought
Because I would feel like I'm hurting them,thought
Because it's like I do not have time for them,thought
That I should have done things better,thought
Not to be unemployed,thought
The fact of not having anyone to talk to,thought
Because I would feel out of place,thought
Having done things wrong,thought
For being irresponsible,thought
They don't want to hang out with me.,thought
There must be something wrong with me. ,thought
I must be a worthless person. ,thought
"I can't write this essay, it's really hard. ",thought
"I must be stupid, I can't complete this simple assignment. ",thought
I suck and shouldn't succeed. ,thought
"I should've done better, I wouldn't have been fired. ",thought
That I'm incompetent and couldn't do the job. ,thought
i'm incompetent and not doing a good job,thought
Why didn't he want to talk to me?,thought
There must be something wrong with me,thought
I must've bored him somehow,thought
I'm a worthless person because he didn't want to talk to me,thought
"what if i have nothing to say, what if we don't click anymore, what if this goes badly.",thought
He's  not going to like me. ,thought
There must be something wrong with me,thought
I suck as a person. ,thought
That my boss thinks I'm incapable,thought
It would mean that they do not trust me to finish my work,thought
They think that I need to be micromanaged,thought
That I am not qualified for my position ,thought
That I am not worthy of my position,thought
That she is not as fond of me as I am of her,thought
Because I would have misread her cues and that I do not have a friend that I thought I did,thought
my efforts were not enough,thought
I would wonder if there was anything I could do and feel like a failure,thought
I would not be able to achieve my goals ,thought
I would be stuck at this weight forever,thought
I wouldn't be worthy,thought
I don't have self-confidence ,thought
That he didn't respect our initial commitment ,thought
That he didn't take me seriously ,thought
He doesn't value me or my time ,thought
He doesn't love me like he says ,thought
That I'm not worthy of being loved,thought
That I'm in a one-sided relationship,thought
That they do not like me,thought
Because I would have misrepresented our friendship and would be rejected.,thought
I have a deadline and this essay needs to get done.,thought
The more time I waste the less I will have to work on it.,thought
I may not be able to get the essay done on time to review it,thought
I will end up submitting poor quality and error filled work.,thought
I want to see them and did not want to upset them.,thought
I probably haven't seen them in a while and miss them.,thought
It may also upset them and it would be longer before I can see them,thought
That I am doing something wrong and am not good enough.,thought
I may be in the wrong field and would have to start over.,thought
"I have wasted time, education, and money on something I am not good at.",thought
That I make poor decisions ,thought
It seems sudden and they did not talk to be about it before hand.,thought
That they felt like talking to me about it would end badly,thought
That they think they could not talk to me about things.,thought
They think I am too emotional,thought
I made a deadline and missed it.,thought
my friend would think I can't keep a promise.,thought
they would stop trusting me with things.,thought
they may stop interacting and talking to me,thought
"I wonder what it is about the diet that causes that? Do certain foods that I've been eating react one way now for a reverse, and more lasting, effect later?",thought
I don't have to try and sell cars anymore!,thought
This guy must think I'm a real piece of shit.,thought
Me and that person don't talk the rest of the night and never get to know each other.,thought
"I should have studied harder, or more efficiently.",thought
"Just that I could have focused more while studying and made sure to retain the important details. About me, it just says that I might have been distracted. ",thought
This person doesn't care for me.,thought
"Nothing, really. If they don't like me, that's not really a problem. Its also possible that they didn't see me.",thought
Worst that can happen is that me and that person don't become friends.,thought
I'm gonna have a bad grade for this.,thought
I will fail the class,thought
I will not graduate,thought
I will not get a job,thought
"I will fail to afford basic necessities for living such as rent, food, and transportation.",thought
Time is very limited and I'm probably gonna have little time left to spend with them.,thought
I will be lonely and depressed without them,thought
I will die without them,thought
I will never get a job on any work I apply for,thought
I will not have a career and I will be jobless,thought
"I will not have the ability to afford basic necessities such as food, shelter, and transportation.",thought
I will never have a lover like him,thought
I will stay lonely and sad for a very long time.,thought
I will die sad and alone.,thought
she always ask for help and it's usually the same issue. ,thought
I may snap one day and be angry at her and I will regret it,thought
It would get worse and she would ask things more often because she's getting older.,thought
I may lose relationship with her and resent me.,thought
She may pass away resenting me and I will feel guilty,thought
I would feel like I haven't been focusing on my work.,thought
I would worry about not finishing work on time.,thought
I would worry less about my work and more about my own competence.,thought
I would become less focused on my work.,thought
I would be reprimanded by my boss,thought
I would feel like a poor employee,thought
I would perform poorly,thought
I would get fired.,thought
I would no longer have a job.,thought
I would become depressed.,thought
I'd feel like it shouldn't be this hard to think of something to write.,thought
I'm making this harder on myself than it needs to be.,thought
I let my emotions get in the way of my work.,thought
I would stop focusing on what is important.,thought
I feel like I passed up a good opportunity to see my family.,thought
I don't have time for my family.,thought
"I want to see them, but I'm just too busy.",thought
I'd feel like they would hate me.,thought
What have I been doing wrong?,thought
I don't know what it is I've been doing wrong.,thought
They haven't talked to me about anything,thought
I'd be lost trying to search for answers.,thought
I'd likely end up seriously depressed knowing I failed as a partner,thought
I'd feel empty inside.,thought
I feel lost and don't know what to do with my life.,thought
I'd start to doubt my ability to do anything.,thought
I'd show more signs of not wanting to do anything purely out of fear.,thought
My parents would become even more frustrated with me.,thought
They would force me out of the house to be on my own and cut me off financially.,thought
I would feel devastated and desperate.,thought
I wouldn't know what to do or where to go.,thought
I would become homeless.,thought
Both my physical and mental health would start to deteriorate.,thought
Does he think I forgot?,thought
He might think I'm stupid or irresponsible,thought
I'm a bad employee,thought
I'll get fired,thought
I won't be able to afford food or rent.,thought
I will be homeless,thought
Maybe he doesn't like me.,thought
I might have said something wrong.,thought
I lack social awareness,thought
I can't make friends easily,thought
I would be lonely,thought
Am I not good enough to be hired?,thought
I lack basic skills for employment,thought
I can't make money to support myself,thought
I will have to live with my parents,thought
I would feel like a failure,thought
Nobody will respect me.,thought
Did I do something wrong?,thought
It might be my fault that my lover left.,thought
I might be a bad lover.,thought
I can't satisfy or support another person,thought
I don't deserve to be loved.,thought
Does nobody want to talk to me?,thought
I might be a boring person,thought
It would me I am an unfavorable person to be around,thought
I have character flaws that people dislike,thought
I can't make friends,thought
I will be lonely ,thought
I might fall into depression,thought
I am aware of this work.,thought
It would say that my boss is over-bearing.,thought
They aren't interested in me.,thought
"No. It would mean that they aren't interested in me, which is only a reflection of their personal interest and would have no bearing on my self-confidence. ",thought
I must not have followed the diet close enough.,thought
It would mean that I didn't try hard enough.,thought
It would be I would need to try harder.,thought
I am unable to pay for this. ,thought
It would mean that I have made poor choices.,thought
It would mean that I have wasted time.,thought
I cannot get time back,thought
Something is wrong with this person.,thought
Yes. It would mean that they are either having personal problems or are angry at me. It wouldn't say anything about me since I cannot recall a reason they would treat me this way.,thought
It wouldn't mean anything to me because I wouldn't take it personally. ,thought
I'm not going to be able to get this done,thought
My boss will lose respect for me,thought
I will not do great at the next performance review and may miss opportunities,thought
i could get fired,thought
It may take some time to find another job,thought
They don't like me as much as I had thought,thought
"It really wouldn't be too upsetting for me, everyone has their preferences",thought
Maybe I'm not following the diet closely enough,thought
The diet will be ineffective,thought
I will continue to gain weight,thought
I will become more unhealthy,thought
I will be at higher risk for health issues and not be able to do what i want to do,thought
I wasn't good enough,thought
I may not be good enough for anyone,thought
I'm fundamentally flawed as a person,thought
I may never be able to be good enough,thought
"Oh crap, she's going to call me next.",thought
It would be a difficult discussion because I don't trust her finances enough to loan her money,thought
She may get angry at the lack of support,thought
It may impact our relationship long term,thought
"I may, in effect, \lose a sister\\\""""",thought
I'm not doing my job.,thought
I'm going to be fired,thought
I am a terrible daughter and sister.,thought
That I am not worthy of my family's love.,thought
That I am inconsiderate.,thought
"I am a loser, who will never have a good job.",thought
I will not make enough money to survive,thought
I will not have health insurance,thought
I will die poor,thought
I am the worst daughter in the world.,thought
I do not love my mother.,thought
I am not worthy of their love,thought
They must not like me.,thought
I am not a good friend.,thought
I'm not fun to be around.,thought
I may not be able to get all my work done in time,thought
I may not be very good at my job,thought
My boss and coworkers could come to see me as a burden,thought
They only say they're busy to be polite,thought
I was being too pushy or weird,thought
I may have alienated them,thought
I'm incapable of normal social interaction,thought
I might not be capable of meaningful long-term relationships,thought
This diet may not be effective at helping me lose weight,thought
I might have to try a more restrictive diet,thought
"It would be more uncomfortable, and might still not work",thought
"I would start to doubt I could ever lose weight, and potentially give up",thought
My family doesn't respect my boundaries,thought
"It means I have to assert myself more with them, which would cause me to resent them. I dislike when people push their expectations on me.",thought
We won't have enough money left to cover expenses after celebrating,thought
We could lose our apartment and everything we built together,thought
My boss thinks I don't work hard enough,thought
He doesn't value my contributions,thought
My boss doesn't value me as an employee,thought
It could mean I'll be passed over for promotion,thought
It could mean I end up losing my job,thought
I'm not going to be able to get this done in time,thought
I'll receive a very low grade for my work,thought
I might fail my class,thought
I would have to retake the class,thought
I would feel like a failure,thought
It would mean that I'm not giving it my best,thought
I'm not a good son,thought
It would mean I'm letting my family down,thought
It would say that I put my needs before the needs of others,thought
It gives the impression that I am a selfish person,thought
Because then people think that I only care about myself,thought
Because that is not who I am and it's not how I want to be seen.,thought
I'm not going to be able to pay my bills,thought
It would mean I would have to pay late fees,thought
It would make me feel further behind and in the hole,thought
I would feel like I'm failing my family,thought
It would mean that I would feel like I'm not being a good husband,thought
That I am a failure,thought
She doesn't like me,thought
Because she doesn't share the same feelings I do,thought
It would make me think that something is wrong with me,thought
It would mean that I don't fit in,thought
I will never lose weight,thought
I will be fat,thought
I will be unhealthy,thought
people will mock me,thought
I will never find a job,thought
I will not have money,thought
I cannot pay my bills,thought
I'm not good enough,thought
I would feel unlovable,thought
I will be alone forever,thought
I will be depressed,thought
We will not be able to complete the work that needs to be done,thought
hospital patients will suffer,thought
my department will get blamed,thought
my department will do all of the work,thought
we will get reprimanded for not having the appropriate parties assist with the work,thought
He ignored me on purpose,thought
He is not as friendly as I thought,thought
I misjudged our budding friendship,thought
I am not a good judge of character,thought
I am not as interesting as I think.,thought
I care if I am found to be attractive to the opposite sex. ,thought
It would lessen my confidence level around people. ,thought
I can't think of anything to write. ,thought
I am wasting time sitting here trying to write the essay.,thought
I may not be a good writer. ,thought
I am disappointing them.,thought
I don't like to upset or disappoint my family. ,thought
"I don't like when my family is sad. I want to make them feel good, not bad. ",thought
The fact that I was not good enough to be hired for the position over the other person.,thought
It would mean that I am not qualified.,thought
It means I need to look into being more qualified. ,thought
I am responsible for her mistakes. ,thought
I didn't do anything to cause the issue.,thought
It means it is out of my control,thought
It means I am unable to fix the problem when it occurred.,thought
She doesn't like me romantically,thought
People whom I like romantically do not like me back in the same way.,thought
I will end up alone and without any romantic relationship.,thought
I am fat,thought
I am unable to lose weight,thought
I am unable to have a body I am happy with,thought
I will never get a job,thought
I will never end up with money sufficient to provide for myself or the respect of society.,thought
I will end up materially and emotionally unfulfilled,thought
I will be depressed and sad,thought
I lost my wife.,thought
I will never see the person I love again,thought
I am unable to have a deep romantic relationship,thought
I will die sad and alone,thought
I will never have a life I enjoy,thought
I will never get a job.,thought
I will never end up with money and my inlaws will not like me.,thought
"I will be unable to provide for my family, which will make me feel worthless",thought
I will be depressed and sad because I feel that I am worthless,thought
he pointed out that there was work to finish by the end of the day.,thought
he feels I cannot finish if I take a brief break for coffee,thought
I have a right to take a break,thought
My boss has no faith in me.,thought
I am a failure.,thought
It means I cannot lose weight,thought
I means I cannot stick to a diet so maybe I cannot stick to anything. ,thought
I am not friendly or charming.,thought
People must not like me.,thought
It will be hard to find work if I am not liked or charming.,thought
I will have a lonely life.,thought
"I really have to pass, I need to work.",thought
I am too old to enter the workforce again in other roles.,thought
"After a million interviews, no one will hire a retired, 60 year old teacher.",thought
"without this job, I will not be able to pay my bills.",thought
I will end up homeless.,thought
I am forgettable.,thought
I cannot make an impression on people.,thought
This wont bode well trying to secure work.,thought
I will be lonely.,thought
I'm too old to find a new job,thought
I am over the hill,thought
I'll have to compete with much younger workers,thought
My skills are old and out of date,thought
I'll just have to take what I can find,thought
I will get lucky if I keep trying,thought
I have a positive outlook and keep trying,thought
It would mean I was searching for the wrong jobs.,thought
I should revise my resume,thought
I should consider other types of job,thought
I will be alone,thought
I am undesireable,thought
No one else will love me,thought
I am a loser,thought
it's a chance to meet new people,thought
her choices were potentially devastating financially,thought
we don't manage our finances very well,thought
we were not timely in our decisions and missed an important deadline,thought
it was our fault that the policy lapsed,thought
Happy that I dont have to think about this person in a social matter anymore.,thought
Anger at myself for not being able to come up with something to right,thought
It would say that i am hard on myself,thought
My fear of having no use in this world,thought
"It would be very depressing, it would say that I would need counseling to get through life.",thought
I would be angry because she just walked out on me.,thought
"I would be angry at first, but then I might relaize that maybe its for the best. Time to move on with my life.",thought
"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice",thought
"It was true because it happened to me, it would say that I stood up for myself",thought
I'm never gonna get it,thought
Because no matter how often I try I won't be able to lose weight.,thought
Because this is not the first time.,thought
I've been working out as well and that should've helped me.,thought
That I'm not talented enough.,thought
Mediocrity is something that scares me.,thought
"That I'm not going to succeed in life, at least professionally.",thought
"Because profession means work, money, food, housing, status, recognition!",thought
Feeling sorry for that someone -not me- who doesn't know what they are missing!,thought
"Let's be honest, nobody likes to be turned down. Nobody likes to be told that you're not sexually attractive, specially on a Saturday night.",thought
I hate being used and I hate being taken advantage of.,thought
"Because money does NOT fall out of the sky. If you borrow money to be paid back in a week, I think it's only fair that after a whole year you should at least have made the effort to save $10.",thought
"Nothing, unfortunately. I'm not going to kill him or anything, but I feel like I was robbed.",thought
What could be wrong with me?,thought
There's a million things you may not like about somebody. Sometimes you can try and change certain things about yourself but not always.,thought
"Because not knowing the reason why somebody doesn't like you is frustrating, especially when you do like them.",thought
Because it is like they're not giving you the chance to prove you can be much more than what they see.,thought
"Because not being recognized as \valuable\\ is the dark side of the survival game we're all in and nobody likes to be there.\""""",thought
i prefer to keep work at work,thought
i do not like to socialize with coworkers,thought
wasting my time sitting here,thought
have other things to do,thought
i am busy and time is limited,thought
too many people working 60 hrs a week means not enough jobs to go around,thought
i am not as selfish as other people,thought
i know how to share and am not greedy,thought
i am alone now,thought
so much to sort out,thought
have to pay bills on my own,thought
confusion about what led to this place,thought
he is gone forever to wife and friends,thought
not bad. i didn't know him well,thought
